ALPHA 0.1
DATASET; TRAIN BACC; STD; TEST BACC; STD; ;; AVG INPUTS
ASP_data/GSE22058/GSE22058_1_res_01.log:CSV ; 1.0 ; 0.0 ; 0.9281650071123753 ; 0.04044980442150398 ; 0.8999525841631103 ; 0.9563774300616407 ; 5.0
ASP_data/GSE22058/GSE22058_2_res_01.log:CSV ; 1.0 ; 0.0 ; 0.9421052631578947 ; 0.02882750302658766 ; 0.9368421052631579 ; 0.9473684210526315 ; 4.0
ASP_data/GSE22058/GSE22058_3_res_01.log:CSV ; 1.0 ; 0.0 ; 0.9473684210526315 ; 0.0372161463782393 ; 0.894736842105263 ; 1.0 ; 4.0
ASP_data/GSE22058/GSE22058_4_res_01.log:CSV ; 1.0 ; 0.0 ; 0.9539473684210527 ; 0.013157894736842054 ; 0.9210526315789473 ; 0.9868421052631579 ; 4.0
ASP_data/GSE22058/GSE22058_5_res_01.log:CSV ; 1.0 ; 0.0 ; 0.9125000000000001 ; 0.08838834764831836 ; 0.875 ; 0.95 ; 4.0


DATASET; TRAIN BACC; STD; TEST BACC; STD; ;; AVG INPUTS
ASP_data/GSE10694/GSE10694_1_res_01.log:CSV ; 0.9193548387096775 ; 1.1102230246251565e-16 ; 0.921875 ; 0.02209708691207961 ; 0.875 ; 0.96875 ; 6.0
ASP_data/GSE10694/GSE10694_2_res_01.log:CSV ; 0.9435483870967742 ; 0.0 ; 0.78125 ; 0.0 ; 0.8125 ; 0.75 ; 6.0
ASP_data/GSE10694/GSE10694_3_res_01.log:CSV ; 0.9193548387096774 ; 0.0 ; 0.875 ; 0.0 ; 0.875 ; 0.875 ; 6.0
ASP_data/GSE10694/GSE10694_4_res_01.log:CSV ; 0.9435483870967742 ; 0.0 ; 0.8 ; 0.035630482034348064 ; 0.75 ; 0.85 ; 6.0
ASP_data/GSE10694/GSE10694_5_res_01.log:CSV ; 0.921875 ; 0.0 ; 0.8571428571428571 ; 0.025253813613805257 ; 0.9285714285714286 ; 0.7857142857142857 ; 6.0


DATASET; TRAIN BACC; STD; TEST BACC; STD; ;; AVG INPUTS
ASP_data/GSE36681_FF/GSE36681_1_FF_res_01.log:CSV ; 0.9888888888888888 ; 1.1331166295920987e-16 ; 0.7745454545454545 ; 0.08348471099367219 ; 0.7563636363636363 ; 0.7927272727272726 ; 6.0
ASP_data/GSE36681_FF/GSE36681_2_FF_res_01.log:CSV ; 0.9888888888888889 ; 0.0 ; 0.7363636363636363 ; 0.03803000120609431 ; 0.9272727272727274 ; 0.5454545454545454 ; 6.0
